,issuekey,title,description,storypoint
0,BAM-65,Allows CVS repo to timeout and report on locking issues,report locking sometimes perform action get something like update waiting lock bamboo bamboo would probably become happy allow bamboo conditionally stop tell user problem,3
1,BAM-932,allow a build to be placed at the head of the build queue... (or edit the queue order),nan,2
2,BAM-3476,Result not saved when checkout fails,result saved yesterday bamboo browse tst bamboo build log like build tst building agent default agent source code revision source found opt data bamboo attempt data build tst source opt data bamboo attempt data build tst test idea opt data bamboo attempt data build tst test opt data bamboo attempt data build tst test opt data bamboo attempt data build tst test opt data bamboo attempt data build tst test opt data bamboo attempt data build tst test opt data bamboo attempt data build tst main idea opt data bamboo attempt data build tst main idea crucible tree u opt data bamboo attempt data build tst main idea crucible editor u opt data bamboo attempt data build tst main idea crucible editor error build tst unable retrieve source code tst change detection found build tst building agent default agent build building agent default agent source code latest working directory opt data bamboo attempt data build empty studio trunk connector u opt data bamboo attempt data build license u opt data bamboo attempt data build idea opt data bamboo attempt data build doc error build source code revision head studio trunk connector manual build triggered build building agent default agent source code latest source found opt data bamboo attempt data build source opt data bamboo attempt data build doc opt data bamboo attempt data build opt data bamboo attempt data build test opt data bamboo attempt data build test opt data bamboo attempt data build test opt data bamboo attempt data build test opt data bamboo attempt data build test opt data bamboo attempt data build test opt data bamboo attempt data build test bamboo opt data bamboo attempt data build test bamboo opt data bamboo attempt data build test idea u opt data bamboo attempt data build test idea opt data bamboo attempt data build test idea bamboo error build unable retrieve source code null u opt data bamboo attempt data build main idea crucible u opt data bamboo attempt data build main idea crucible tree opt data bamboo attempt data build main idea crucible tree u opt data bamboo attempt data build main idea crucible opt data bamboo attempt data build main idea crucible editor opt data bamboo attempt data build main idea crucible editor error build unable retrieve source code purging checked code opt data bamboo attempt data build manual build triggered build building agent default agent source code revision however command line exactly host bamboo even worked fine two bamboo bump build number build nowhere really shown e dashboard via remote still got last build successful although build number greater bamboo dashboard via last build e g last one cleaning working full help problem full clean anonymous access private account bamboo finally new build dashboard number real status suspect problem may also somehow connected server could applied security avoid do bamboo bamboo every hundred time trying without success,2
3,BAM-3612,Talkback from elastic agent to bamboo server to include EBS volume mount results,elastic agent bamboo server include volume mount elastic instance agent mount volume snapshot progress success fail fed back bamboo server display log log could used process progress,2
4,BAM-3616,"Users can see the maven module (groupid, artifactid, version) against each plan.",see module version plan respect sub working directory look sub working directory read top level pom pom read building read plan may multiple,5
5,BAM-3620,PostBuildProcessor plugin to kick off the Maven pom.xml parsing,kick pom consider running remote functional test behavior,2
6,BAM-3621,Get Bamboo functional tests passing in the cloud,nan,5
7,BAM-3626,Allow gadget server plugin to be incorporated into Bamboo.,allow gadget server incorporated bamboo include sal read display bamboo estimate,5
8,BAM-3631,Implement SAL part 1,implement sal part goal goal get compatible sal compatibility kit however tackling subset sal implementation figure much compatibility kit note given tackling sal,5
9,BAM-3633,Implement SAL part 2,implement sal part work sal see bam part,8
10,BAM-3634,Alert users of builds which can not be built by any agents,alert built bamboo alert user plan built period time set default removed user necessary avoid following,1
11,BAM-3676,"Reliably Reproduce ""BAM-3244 Fix hanging agents""",nan,8
12,BAM-3679,Patch ActiveMQ to fix the code problem to fix hanging agent problem,patch fix code problem fix hanging agent problem bam minimal patch could ship imply branch maintain,3
13,BAM-3681,Reproduce BAM-3643 - Extreme CPU spike on BEAC,reproduce bam extreme spike little idea could much success ing,12
14,BAM-3683,BAM-3495 Fixing borked status,nan,8
15,BAM-3685,Support bundled plugins in Bamboo,nan,5
16,BAM-3693,Add the ability to sleep before collecting artifacts to a bamboo agent,add ability sleep bamboo agent build bamboo like system property agent could small sleep would allow build settle save agent come along collect,2
17,BAM-3695,Bamboo Specfic Functional Tests for SAL Intefaces,bamboo functional sal testing generic testing return something need write bamboo specific ensure bamboo actually right thing underneath sal,3
18,BAM-3718,Implement SAL Interfaces Part 3,implement sal part implement make last milestone see page display bamboo bamboo sal work progress,5
