,Unnamed: 0,issuekey,title,description,storypoint
0,0,APSTUD-3707,add copy right click context menu remote view add copy right click context menu remote view able connect bucket drag copy image refer remotely release link easy way tell various could use refer resulting right click choose copy expiring one hour one day one week one hour torrent,Add Copy URL actions to right-click context menu of Remote view for S3 files add copy right click context menu remote view able connect bucket drag copy image refer remotely release link easy way tell various could use refer resulting right click choose copy expiring one hour one day one week one hour torrent,5
1,1,APSTUD-23,open new instance opening via explorer open new instance opening via explorer div p assigned open new instance opening win tender issue tender p p win p p running try open explorer double click enter use cannot choose different one showing splash screen p p dragging running instance cause behavior opening project view except temp solution chose open p p already luck p li installation folder folder writable li li several complete li li removed lock file folder li li new switched li li administrator li p new fix problem temporary problem back within week p p never saw splash screen running another file loaded running instance eclipse p p quite annoying cause every time splash screen either file open due locked p div,Aptana tries to open a new instance of itself when opening files via Windows Explorer open new instance opening via explorer div p assigned open new instance opening win tender issue tender p p o win p p running try open explorer double click enter use cannot choose different one showing splash screen p p dragging running instance cause behavior opening project view except temp solution chose open p p already luck p li installation folder folder writable li li several complete li li removed lock file folder li li new switched li li administrator li p new fix problem temporary problem back within week p p never saw splash screen running another file loaded running instance eclipse p p quite annoying cause every time splash screen either file open due locked p div,8
2,2,APSTUD-99,content assist shown outside screen content assist shown outside screen see image content assist outside screen boundary right,Content assist popup is shown outside the screen boundaries content assist shown outside screen see image content assist outside screen boundary right,8
3,3,APSTUD-190,parent parent overwrite parent method often need call new method example code class parent public function class child public function foo return parent content assist code parent fix attempt replicate check see item fixed version code fixed link issue problem,PHP Autocompletion for parent methods parent overwrite parent method often need call new method example code class parent public function class child public function foo return parent content assist code parent fix attempt replicate check see item fixed version code fixed link issue problem,13
4,4,APSTUD-246,dragging image editor create image tag dragging image editor create image tag dragging image editor create tag view behavior dropping image onto editor image tag relative path image file hight width alt text initial version e dragging code width height alt code,Dragging an image into the HTML editor should create an image tag dragging image editor create image tag dragging image editor create tag view behavior dropping image onto editor image tag relative path image file hight width alt text initial version e dragging code width height alt code,8
5,5,APSTUD-350,singleton code completion singleton code completion given pattern code function self self get function return return self code studio able pattern correctly wonder possible tell yes seen class additionally self could super constructor working either expect naturally soon really searching good ide also kind writing object way,singleton scriptdoc / code completion singleton code completion given pattern code function self self get function return return self code studio able pattern correctly wonder possible tell yes seen class additionally self could super constructor working either expect naturally soon really searching good ide also kind writing object way,13
6,6,APSTUD-378,studio ship sample studio ship sample trying get studio install studio mac x following help instruct install add code display current import sample project view expand studio node view node related get studio node,Aptana Studio does not ship with debugger sample studio ship sample trying get studio install studio mac o x following help instruct install add code display current import sample project view expand studio node view node related get studio node,8
7,7,APSTUD-612,redraw error snippet redraw error snippet div p may actually issue posted case indicative issue p li open editor li li type li li type tab li li allow enough time next two available li li type li p point two go away see trash screen trash add remove p div,Redraw error when using JS snippet redraw error snippet div p may actually issue posted case indicative issue p li open editor li li type li li type tab li li allow enough time pas next two available li li type li p point two go away see trash screen trash add remove p div,8
8,8,APSTUD-769,something shipped know know product page seen coming soon yet would great found go ability run script parser get output found one main use lecturer technical university helping understand going inside process,PHP Debugger something shipped know know product page seen coming soon yet would great found go ability run script parser get output found one main use lecturer technical university helping understand going inside process,40
9,9,APSTUD-796,project explorer showing duplicate project explorer showing duplicate attached image project explorer see current improper behavior attached image c c see behavior view proper project explorer web new install eclipse studio arch also see linked,Project Explorer is showing duplicate files and folders project explorer showing duplicate attached image project explorer see current improper behavior attached image c c see behavior view proper project explorer web new install eclipse studio arch also see linked,13
10,10,APSTUD-814,option remove trailing file save option remove trailing file save eclipse option trailing automatically removed save e end line impact possible could add useful feature,Option to remove trailing whitespace on file save option remove trailing file save eclipse option trailing automatically removed save e end line impact possible could add useful feature,13
11,11,APSTUD-832,find cause text selection invert color find cause text selection invert color select text open find replace press f click magnifier icon search bar point selection gone like inverted something similar option find replace selected line useless latest build never experienced error log clean,"Find dialog cause text selection to ""invert"" colors find cause text selection invert color select text open find replace press f click magnifier icon search bar point selection gone like inverted something similar option find replace selected line useless latest build never experienced error log clean",8
12,12,APSTUD-865,add ability shift arrow select word via camel case add ability shift arrow select word via camel case old selection width shift arrow selected single segment current version whole word selected possible change behaviour somehow maybe option,Add ability to Shift+Ctrl+arrow to select word via camel case add ability shift arrow select word via camel case old selection width shift arrow selected single segment current version whole word selected possible change behaviour somehow maybe option,8
13,13,APSTUD-994,error error error error code entry editor message error stack eclipse core internal marker id found eclipse core internal marker marker eclipse core internal marker marker eclipse core internal marker marker editor internal core builder flush eclipse internal core ast ast ast editor internal indexer editor indexer editor indexer run eclipse core internal worker run worker subentry eclipse core message marker id found code,PHP: Error updating PHP error markers error error code entry editor message error stack eclipse core internal marker id found eclipse core internal marker marker eclipse core internal marker marker eclipse core internal marker marker editor internal core builder flush eclipse internal core ast ast ast editor internal indexer editor indexer editor indexer run eclipse core internal worker run worker subentry eclipse core message marker id found code,5
14,14,APSTUD-1313,auto configure python interpreter possible auto configure python interpreter possible div p project python interpreter eventually find auto configure everything fine p p suggest two error icon project like configure interpreter would first try auto configure interpreter alert could direct people normal preference page could fix problem manually necessary p div,Auto-configure Python interpreter (if possible) auto configure python interpreter possible div p project python interpreter eventually find auto configure everything fine p p suggest two error icon project like configure interpreter would first try auto configure interpreter alert could direct people normal preference page could fix problem manually necessary p div,1
15,15,APSTUD-1378,latest dev latest dev div p seeing content explorer something seen digging like got applied especially surprising since dug see installation yet see belonging sure got p div,Updating to latest RCP on dev installs JDT plugins latest dev div p seeing content explorer something seen digging like got applied especially surprising since dug see installation yet see belonging sure got p div,13
16,16,APSTUD-1469,terminal process cannot c break terminal process cannot c break div p assigned terminal process cannot tender discussion tender p p start long time process terminal window neither press c break press z pause p div,Terminal process cannot be killed with Ctrl+C or Ctrl+Break terminal process cannot c break div p assigned terminal process cannot tender discussion tender p p start long time process terminal window neither press c break press z pause p div,13
17,17,APSTUD-1609,honor tag honor tag currently process may even case likely parser scanner model need extended support tag well,JS inferencer should honor @memberOf sdoc tag honor tag currently process may even case likely parser scanner model need extended support tag well,20
