,Unnamed: 0,issuekey,title,description,storypoint
0,0,DURACLOUD-4,document logging framework document logging framework store client whenever used c directory several underneath store log sending default way would good,Document logging framework document logging framework store client whenever used c directory several underneath store log sending default way would good,1
1,1,DURACLOUD-10,allow simple project version allow simple project version easy simple update version number release,Allow for simple updating of project version numbers allow simple project version easy simple update version number release,3
2,2,DURACLOUD-19,nan,,16
3,3,DURACLOUD-21,image conversion service image conversion service service wrapper service perform conversion tiff,JPEG2K: Image conversion service image conversion service service wrapper service perform conversion tiff,8
4,4,DURACLOUD-22,image server service image server service service wrapper service serve,JPEG2K: Image server service image server service service wrapper service serve,5
5,5,DURACLOUD-23,image viewer service image viewer service service wrapper service display,JPEG2K: Image viewer service image viewer service service wrapper service display,3
6,6,DURACLOUD-25,add support add support add support available rest define appropriate topic example greater degree replication filtering replication update delete creation provenance service,Messaging: Add support for all DuraStore methods add support add support available rest define appropriate topic example greater degree replication filtering replication update delete creation provenance service,3
7,7,DURACLOUD-28,nan,,3
8,8,DURACLOUD-29,replication bulk store new empty store replication bulk store new empty store replication content store space new store space starting new replicated store,Replication: bulk from existing store to new/empty store  replication bulk store new empty store replication content store space new store space starting new replicated store,7
9,9,DURACLOUD-38,nan,,13
10,10,DURACLOUD-39,indexing service space content search indexing service space content search listening content making information included search engine index note need search engine available work prior working task choice need made indexing used likely apache apache various apache found assist selection task include rest support querying index,Indexing service for space/content properties/tags (Search)  indexing service space content search listening content making information included search engine index note need search engine available work prior working task choice need made indexing used likely apache apache various apache found assist selection task include rest support querying index,8
11,11,DURACLOUD-41,integrity check demand rely integrity check demand rely allow ingest validation test case use validate replicated content store,Integrity: check on demand (rely on DuraCloud generated hashes)  integrity check demand rely allow ingest validation test case use validate replicated content store,13
12,12,DURACLOUD-60,allow value included content item allow value included content item update rest call content item allow value file ensure file received correctly,Allow expected checksum value to be included when adding a content item allow value included content item update rest call content item allow value file ensure file received correctly,2
13,13,DURACLOUD-61,handle handle size many want store facilitate handling large smaller transfer need back together well ideally transparent user even far multiple one space listing proper total file size,Handle files larger than 5GB handle size many want store facilitate handling large smaller transfer need back together well ideally transparent user even far multiple one space listing proper total file size,3
14,14,DURACLOUD-62,enable pax logging enable pax logging use container pax tooling important container configuration bundle level logging logging part classic logger common browse,Enable Pax-logging enable pax logging use container pax tooling important container configuration bundle level logging logging part classic logger common browse,2
15,15,DURACLOUD-63,production ami continuous integration testing production ami continuous integration testing suite run schedule start production check button start verify service verify content,Production AMI continuous integration testing production ami continuous integration testing suite run schedule start production check button start verify service verify content,5
16,16,DURACLOUD-64,update development ami update development ami update tomcat user development ami allow calling apt get via password call add line end file tomcat bin apt get also add necessary initialize bundle home,Update the development AMI update development ami update tomcat user development ami allow calling apt get via password call add line end file tomcat bin apt get also add necessary initialize bundle home,1
17,17,DURACLOUD-65,nan,,1
18,18,DURACLOUD-66,initialize bundle home initialize bundle home currently bundle home configuration item since deployment machine likely different setup particular build machine would useful allow bundle home set note past building deployment machine may potentially initialize rest call initialize file baked ami initialize system property tempting,Initialize servicesadmin $bundle.home at runtime initialize bundle home currently bundle home configuration item since deployment machine likely different setup particular build machine would useful allow bundle home set note past building deployment machine may potentially initialize rest call initialize file baked ami initialize system property tempting,1
19,19,DURACLOUD-68,integrate viewer content browse integrate viewer content browse although viewer currently need tied content browse order useful content,Integrate j2k viewer with duradmin content browse integrate viewer content browse although viewer currently need tied content browse order useful content,3
20,20,DURACLOUD-69,project project attempt isolate fundamental building testing task create three top level pom separate storage infrastructure bamboo run,Modularize project builds project attempt isolate fundamental building testing task create three top level pom separate storage infrastructure bamboo run,1
21,21,DURACLOUD-70,cannot empty content cannot empty content testing trunk attempt send empty stream though request exception thrown content item never actually far empty via listing getting empty tested empty item test space error empty file able successfully list get delete empty,Cannot upload empty content cannot empty content testing trunk attempt send empty stream though request exception thrown content item never actually far empty via listing getting empty tested empty item test space error empty file able successfully list get delete empty,1
22,22,DURACLOUD-71,verifier verifier utility need walk directory generate file read manifest provided book compare provided,IA Filesystem Checksum Verifier verifier utility need walk directory generate file read manifest provided book compare provided,1
23,23,DURACLOUD-72,nan,,1
24,24,DURACLOUD-74,create pilot partner create pilot partner order allow use storage pilot need create account partner add partner,Create EMC accounts for each pilot partner create pilot partner order allow use storage pilot need create account partner add partner,1
25,25,DURACLOUD-75,large file large file feature accept large coming rest chunk,Large-file chunking in durastore large file feature accept large coming rest chunk,3
26,26,DURACLOUD-76,large file stitching large file stitching feature accept large coming rest stitch single response stream,Large-file stitching in durastore large file stitching feature accept large coming rest stitch single response stream,3
27,27,DURACLOUD-80,nan,,1
28,28,DURACLOUD-81,update library update library resolved library based support current library need added need account,Update Rackspace Java library update library resolved library based support current library need added need account,1
29,29,DURACLOUD-82,nan,,3
30,30,DURACLOUD-86,limit count space space limit count space space current call get space count number space getting list entire set content counting included large number item space take quite around rather count every time space count capped value returned large number example cap counting value could returned cap along cap need way get actual content count would likely work best client side count since client would able update display indicate count proceeding,Limit count of space items in space metadata limit count space space current call get space count number space getting list entire set content counting included large number item space take quite around rather count every time space count capped value returned large number example cap counting value could returned cap along cap need way get actual content count would likely work best client side count since client would able update display indicate count proceeding,1
31,31,DURACLOUD-91,memory error large memory error large try three tomcat throw error,Out of memory error on uploading large files through duradmin. memory error large try three tomcat throw error,2
32,32,DURACLOUD-93,convert use consistently logging convert use consistently logging currently mix common logging common logging transitive need favor good reference point task thing common browse,Convert to use SLF4J consistently for logging convert use consistently logging currently mix common logging common logging transitive need favor good reference point task thing common browse,3
33,33,DURACLOUD-94,conversion service cleanup always happening conversion service cleanup always happening conversion service call add converted file storage neither converted file original removed work directory cleanup occur regardless whether conversion succeed additionally would good idea add retry call,Conversion service cleanup not always happening conversion service cleanup always happening conversion service call add converted file storage neither converted file original removed work directory cleanup occur regardless whether conversion succeed additionally would good idea add retry call,1
34,34,DURACLOUD-95,service kept service work directory service kept service work directory specifically service package zip unpacked found already service work directory instead jar count done already jar,Service Jars should be kept out of the service work directory service kept service work directory specifically service package zip unpacked found already service work directory instead jar count done already jar,1
35,35,DURACLOUD-96,unable add content item name space unable add content item name space add content item name space add failure message added content list issue show space update issue resolved similar problem still added content item name space work properly refresh item disappear,Unable to add metadata to a content item when the metadata name includes a space unable add content item name space add content item name space add failure message added content list issue show space update issue resolved similar problem still added content item name space work properly refresh item disappear,2
36,36,DURACLOUD-97,mime type content item invalid mime value mime type content item invalid mime value update mime type content item invalid value image exception thrown error medium type image item via rest consequently validation check make sure value provided mime type acceptable,Updating the MIME type of a content item to an invalid MIME value causes errors mime type content item invalid mime value update mime type content item invalid value image exception thrown error medium type image item via rest consequently validation check make sure value provided mime type acceptable,1
37,37,DURACLOUD-98,progress bar content progress bar content right content item,Progress bar for uploading content items in duradmin progress bar content right content item,1
38,38,DURACLOUD-101,create utility sync create utility sync used sync arbitrary file system new one use case direct backup file content archive without needing talk directly see common confluence x detail,Create utility to sync to DuraCloud from the filesystem create utility sync used sync arbitrary file system new one use case direct backup file content archive without needing talk directly see common confluence x detail,16
39,39,DURACLOUD-102,add option set color space image conversion service add option set color space image conversion service format need converted part process converting tiff task include option indicate preferred target call perform image conversion option need included item service,Add option to set color space in Image Conversion service add option set color space image conversion service format need converted part process converting tiff task include option indicate preferred target call perform image conversion option need included item service,2
