,Unnamed: 0,issuekey,title,description,storypoint
0,0,GHS-1271,nan,,5
1,1,JSW-1271,nan,,5
2,2,GHS-1681,generic webwork may clash generic webwork may clash web work generic update move synch good chance clash action name used given name specific alternatively bang syntax used place command update case need define however still need define alias empty string otherwise thrown,Generic webwork aliases may clash with other plugins generic webwork may clash web work generic update move synch good chance clash action name used given name specific alternatively bang syntax used place command update case need define however still need define alias empty string otherwise thrown,5
3,3,JSW-1681,generic webwork may clash generic webwork may clash web work generic update move synch good chance clash action name used given name specific alternatively bang syntax used place command update case need define however still need define alias empty string otherwise thrown,Generic webwork aliases may clash with other plugins generic webwork may clash web work generic update move synch good chance clash action name used given name specific alternatively bang syntax used place command update case need define however still need define alias empty string otherwise thrown,5
4,4,GHS-1819,add text agile gadget invalid project message add text agile gadget invalid project message error invalid project add project use invalid project use confluence display global context,"Add text to the Agile Gadget ""Invalid Project"" message add text agile gadget invalid project message error invalid project add project use invalid project use confluence display global context",2
5,5,JSW-1819,add text agile gadget invalid project message add text agile gadget invalid project message error invalid project add project use invalid project use confluence display global context,"Add text to the Agile Gadget ""Invalid Project"" message add text agile gadget invalid project message error invalid project add project use invalid project use confluence display global context",2
6,6,GHS-1882,field displayed correctly confluence macro field displayed correctly confluence macro field conjunction macro actual field value rather version,Greenhopper ranking field is not displayed correctly if using Confluence Jira Issues macro field displayed correctly confluence macro field conjunction macro actual field value rather version,20
7,7,JSW-1882,field displayed correctly confluence macro field displayed correctly confluence macro field conjunction macro actual field value rather version,Greenhopper ranking field is not displayed correctly if using Confluence Jira Issues macro field displayed correctly confluence macro field conjunction macro actual field value rather version,20
8,8,GHS-2047,version set create issue screen version set create issue screen costumer project schedule permission cannot manage project backlog however need ability raise new inside specific version e g testing sprint version via create new issue screen cannot via user interface button new card version fixed unscheduled case user ability set version create issue new card,"Version can be set in the create issue screen in JIRA, but not in GreenHopper version set create issue screen costumer project schedule permission cannot manage project backlog however need ability raise new inside specific version e g testing sprint version via create new issue screen cannot via user interface button new card version fixed unscheduled case user ability set version create issue new card",5
9,9,JSW-2047,version set create issue screen version set create issue screen costumer project schedule permission cannot manage project backlog however need ability raise new inside specific version e g testing sprint version via create new issue screen cannot via user interface button new card version fixed unscheduled case user ability set version create issue new card,"Version can be set in the create issue screen in JIRA, but not in GreenHopper version set create issue screen costumer project schedule permission cannot manage project backlog however need ability raise new inside specific version e g testing sprint version via create new issue screen cannot via user interface button new card version fixed unscheduled case user ability set version create issue new card",5
