,issuekey,title,description,storypoint
0,CLOV-1086,Line coverage data is inconsistent,line coverage data inconsistent running idea get inconsistent line branch coverage editor every line hit test always,2
1,CLOV-379,Surefire classpath is incorrect when depending on a jar and a test-jar from the same maven module,incorrect depending jar test jar module two different symptom test work properly executed without clover run clover fail class resource missing running clover test executed multiple time last time run fail output x option found last time test run jar file missing jar file module depend jar test jar module example following pom file dependency parent server data access version version version type test jar type scope test scope dependency dependency parent server data access version version version dependency reason test executed last time following second dependency included list attached pom module test fail server web pom pom pom file module jar test jar server data access pom log file get running x option test fail notice opt bamboo bamboo data build nightly server server data access target server data access snapshot jar missing build opt bamboo bamboo data build nightly server server web target test class build opt bamboo bamboo data build nightly server server web target class build opt bamboo repository jar build opt bamboo repository jar build opt bamboo bamboo data build nightly server server model target server model snapshot jar build opt bamboo repository common common common jar build opt bamboo bamboo data build nightly server server target server snapshot jar build opt bamboo repository common logging common logging common logging jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository netty netty ga netty ga jar build opt bamboo repository spring spring jar build opt bamboo bamboo data build nightly server server core target server core snapshot jar build opt bamboo bamboo data build nightly server server data access target server data access snapshot jar build opt bamboo repository hibernate hibernate ga hibernate ga jar build opt bamboo repository net jar build opt bamboo repository common common common jar build opt bamboo repository transaction jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository hibernate hibernate ga hibernate ga jar build opt bamboo repository persistence persistence persistence jar build opt bamboo repository hibernate hibernate common ga hibernate common ga jar build opt bamboo repository hibernate hibernate ga hibernate ga jar build opt bamboo repository hibernate hibernate search ga hibernate search ga jar build opt bamboo repository apache core core jar build opt bamboo repository jar build opt bamboo repository core core jar build opt bamboo repository jar build opt bamboo repository common io common io common io jar build opt bamboo repository jar build opt bamboo repository sun bind jar build opt bamboo repository bind jar build opt bamboo repository stream jar build opt bamboo repository activation activation activation jar build opt bamboo repository common common configuration common configuration jar build opt bamboo repository jar build opt bamboo repository core snapshot core snapshot jar build opt bamboo repository cache snapshot cache snapshot jar build opt bamboo repository common common spring common spring jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository quartz quartz quartz jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository common common abstract unit common abstract unit jar build opt bamboo repository snapshot snapshot jar build opt bamboo bamboo data build nightly server server data access target server data access snapshot jar build opt bamboo repository oracle jar build opt bamboo bamboo data build nightly server server web target test class build opt bamboo bamboo data build nightly server server web target class build opt bamboo repository jar build opt bamboo repository jar build opt bamboo bamboo data build nightly server server model target server model snapshot jar build opt bamboo repository common common common jar build opt bamboo bamboo data build nightly server server target server snapshot jar build opt bamboo repository common logging common logging common logging jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository netty netty ga netty ga jar build opt bamboo repository spring spring jar build opt bamboo bamboo data build nightly server server core target server core snapshot jar build opt bamboo bamboo data build nightly server server data access target server data access snapshot jar build opt bamboo repository hibernate hibernate ga hibernate ga jar build opt bamboo repository net jar build opt bamboo repository common common common jar build opt bamboo repository transaction jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository hibernate hibernate ga hibernate ga jar build opt bamboo repository persistence persistence persistence jar build opt bamboo repository hibernate hibernate common ga hibernate common ga jar build opt bamboo repository hibernate hibernate ga hibernate ga jar build opt bamboo repository hibernate hibernate search ga hibernate search ga jar build opt bamboo repository apache core core jar build opt bamboo repository jar build opt bamboo repository core core jar build opt bamboo repository jar build opt bamboo repository common io common io common io jar build opt bamboo repository jar build opt bamboo repository sun bind jar build opt bamboo repository bind jar build opt bamboo repository stream jar build opt bamboo repository activation activation activation jar build opt bamboo repository common common configuration common configuration jar build opt bamboo repository jar build opt bamboo repository core snapshot core snapshot jar build opt bamboo repository cache snapshot cache snapshot jar build opt bamboo repository common common spring common spring jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository quartz quartz quartz jar build opt bamboo repository jar build opt bamboo repository jar build opt bamboo repository common common abstract unit common abstract unit jar build opt bamboo repository snapshot snapshot jar build opt bamboo bamboo data build nightly server server data access target server data access snapshot jar build opt bamboo repository oracle jar,2
2,CLOV-1083,Setting special instrumentation output dir to a source dir deletes all source!,nan,1
3,CLOV-579,Add method/statement level instrumentation setting in project properties page ,nan,1
4,CLOV-582,Make Test Run Explorer perform better and stop locking the UI thread,nan,4
5,CLOV-1085,Message in Balloon after clean snapshot is bogus,message balloon clean snapshot bogus clean first test run balloon message see second test run odd total test run time,2
6,CLOV-1084,"No instrumentation Done, Always get two Tests run.",instrumentation done always get two run although done still see two run code clover build dev work trunk clover coverage clover build dev source level clover build dev clover clover build dev time sec sec idea build instrumentation clover build dev clover saved around test run full test run clover build dev clover included test class run total test class loading registry file building index loading coverage data reading per test data coverage data tree tree model ready code,1
7,CLOV-573,Clover should prompt to rebuild a project if its flush or initstring settings change,nan,1
8,CLOV-701,Test Columns are empty (or -1) in project.js when generated via a JSON report  ,test empty project via report report test project e g bamboo browse artifact clover project test data definitely available report,2
9,CLOV-906,Clover-for-Grails generates an exception when using the -clover.view option on the Grails command line.,clover exception clover view option command line clover exception clover view option command line according nick assessment far specific problem see output c test clover clover view welcome licensed apache standard license home set c base directory c resolved running script c groovy environment set test clover true view true clover license path c clover clover clover evaluation license clover loading clover jar file c cache clover clover clover jar clover x default clover setup configuration clover groovy test groovy clover setup clover version built build clover setup loaded c cache clover clover clover jar clover setup clover evaluation license registered clover clover setup day license clover setup clover c clover clover clover forcing clean ensure clover instrumentation disable setting clover false delete directory c target class delete directory c target test class delete directory c clover clover compile start c target class source c target class clover setup new c clover clover source c target class clover setup new c clover clover c target test c target test plain starting unit test phase c target test class unit source file c target test class unit clover setup c clover clover running unit test running test starting integration test phase copy file c target test class integration copy file c target test class copy copied empty empty c target test class clover compile start source file c target class clover setup c clover clover copy file c target class clover compile start source file c target class clover setup c clover clover c target test c temp loading jar file c cache apache ant ant ant jar ant optional transform time c temp view target test clover ended clover clover version built build clover loaded c cache clover clover clover jar clover clover evaluation license registered clover clover day license clover writing report c clover clover report clover version built build clover report loaded c cache clover clover clover jar clover report clover evaluation license registered clover clover report day license clover report history point c clover force set rite true clover report loading coverage c clover clover clover report loading historical coverage data c clover report writing report c build clover report clover report done per package clover report writing historical report c build clover report clover report read history clover report interval clover report interval clover report writing historical data c build clover report historical clover report done error script string index range gant string index range gant gant gant groovy gant gant gant groovy gant gant gant groovy gant gant gant groovy gant gant gant groovy gant gant unknown source gant gant dispatch gant groovy gant gant dispatch gant groovy gant gant gant groovy gant gant gant groovy gant gant gant groovy string index range string string matcher matcher matcher matcher string string groovy groovy call groovy gant gant gant groovy error script string index range application context shutting application context shutdown,1
10,CLOV-930,Implement Test Optimization for Grails: -clover.optimize,implement test optimization clover optimize running clover optimize save clover snapshot first build use discern optimal set order run subsequent based source length test test result always run,2
11,CLOV-940,clover + ant + GWT does not compile and test with clover.,clover ant compile test clover support browse like clover executed build may build sequence target clover clover clean clover build may complete build sequence clover clean clover clover save history clover report clover common dev test verify common build doc compile emma dev clover compile emma common clean clover common build clover current presubmit clover clean clover save history clover snapshot clover clover report user clover log common compile emma common compile emma clover log emma merge test clover clean clover common create emma coverage clover common verify create emma coverage clover current clover clover common test clover snapshot however without executed,3
12,CLOV-951,Assertion failing (call not made from EDT),assertion failing call made code access event dispatch thread current thread thread thread idea thread group dispatch thread thread false idea thread group thread false idea thread group diagnostic logger error logger application application clover idea coverage clover idea coverage clover idea coverage clover idea clover idea clover idea clover idea clover idea clover idea clover idea clover idea simple b access run application run application run concurrent call concurrent sync concurrent run concurrent worker concurrent worker run thread run thread application run access event dispatch thread current thread thread thread idea thread group dispatch thread thread false idea thread group thread false idea thread group diagnostic logger error logger code,2
