,issuekey,title,description,storypoint
0,GHS-1271,As a JIRA Administrator I would like to be able to change the trigger of the night service,nan,5
1,JSW-1271,As a JIRA Administrator I would like to be able to change the trigger of the night service,nan,5
2,GHS-1681,Generic webwork aliases may clash with other plugins,generic webwork may clash web work generic update move synch good chance clash action name used given name specific alternatively bang syntax used place command update case need define however still need define alias empty string otherwise thrown,5
3,JSW-1681,Generic webwork aliases may clash with other plugins,generic webwork may clash web work generic update move synch good chance clash action name used given name specific alternatively bang syntax used place command update case need define however still need define alias empty string otherwise thrown,5
4,GHS-1819,"Add text to the Agile Gadget ""Invalid Project"" message",add text agile gadget invalid project message error invalid project add project use invalid project use confluence display global context,2
5,JSW-1819,"Add text to the Agile Gadget ""Invalid Project"" message",add text agile gadget invalid project message error invalid project add project use invalid project use confluence display global context,2
6,GHS-1882,Greenhopper ranking field is not displayed correctly if using Confluence Jira Issues macro,field displayed correctly confluence macro field conjunction macro actual field value rather version,20
7,JSW-1882,Greenhopper ranking field is not displayed correctly if using Confluence Jira Issues macro,field displayed correctly confluence macro field conjunction macro actual field value rather version,20
8,GHS-2047,"Version can be set in the create issue screen in JIRA, but not in GreenHopper",version set create issue screen costumer project schedule permission cannot manage project backlog however need ability raise new inside specific version e g testing sprint version via create new issue screen cannot via user interface button new card version fixed unscheduled case user ability set version create issue new card,5
9,JSW-2047,"Version can be set in the create issue screen in JIRA, but not in GreenHopper",version set create issue screen costumer project schedule permission cannot manage project backlog however need ability raise new inside specific version e g testing sprint version via create new issue screen cannot via user interface button new card version fixed unscheduled case user ability set version create issue new card,5
10,GHS-2478,As a user I would like the ability to see a horizontal swimlane on my Rapid Board,user would like ability see horizontal rapid board co based issue priority blocker show necessary warning amount longer term order implement like service class need able create horizontal limited example might want standard limit expedite limit fixed delivery date limit feature actually far advanced,13
11,JSW-2478,As a user I would like the ability to see a horizontal swimlane on my Rapid Board,user would like ability see horizontal rapid board co based issue priority blocker show necessary warning amount longer term order implement like service class need able create horizontal limited example might want standard limit expedite limit fixed delivery date limit feature actually far advanced,13
12,JSW-2785,As a GH user I would like to be able to view the cumulative flow diagram using story points,nan,13
