,issuekey,title,description,storypoint
0,MESOS-313,Report executor terminations to framework schedulers.,report executor framework interface currently never,2
1,MESOS-336,Mesos slave should cache executors,slave cache slave environment rarely change slave always pull regardless undue stress resilient reduced availability,5
2,MESOS-343,Expose TASK_FAILED reason to Frameworks.,expose reason message string inside human readable information would good add structure failure framework act programmatically e g,8
3,MESOS-487,Balloon framework fails to run due to bad flags,balloon framework run due bad suspect latest build bin sh balloon verbose warning logging written process logging logging source directory home build directory home build cannot run require mounting following mounted disable test fixture note test filter balloon running test test case global test environment set test run temporary directory master load unknown flag usage master value amount time wait batch e g default cluster value human readable name cluster displayed value policy use given user default help help message default false value address listen value location put log default nothing written disk unless affect logging value many buffer log default port value port listen default quiet disable logging default false root submit default true value initial considered part cluster default value policy use may one default value location asset default local share value path file list one per line advertise form file path file default value used leader election amongst may one path password path file path file file one default red master failing test home sh line kill process script failure sh status test total global test environment tear test test case ran total test listed test,1
4,MESOS-598,Also check 'git diff --shortstat --staged' in post-reviews.py.,also check git staged post current check run post check staged could get lost,1
5,MESOS-708,"Static files missing ""Last-Modified"" HTTP headers",static missing last static asset master return last receive status code asset every page request even asset angular work navigate master browser use browser refresh example header date content length content type text sometimes use date header effect last date always time response server e every request asset look new every time last header added last time file subsequent master return content rather full could save lot time since asset rather heavyweight,2
6,MESOS-723,Expose total number of resources allocated to the slave in its endpoint,expose total number slave could useful information master slave,2
7,MESOS-752,SlaveRecoveryTest/0.ReconcileTasksMissingFromSlave test is flaky,test flaky run executor forked meta forked fetching registered executor starting task forked command sh c sleep failure mock function time directly function call object actual twice saturated active command status,1
8,MESOS-786,Update semantics of when framework registered()/reregistered() get called,update semantics framework registered get current semantics framework w master first time registered framework w master blip framework w master registered framework w master registered framework w master registered semantics everything except framework w master,3
9,MESOS-830,ExamplesTest.JavaFramework is flaky,flaky identify cause following test failure run temporary directory authentication framework master master master master id master master register slave slave slave slave mem disk slave slave slave slave mem disk master newly leader master master leading master state state meta status update manager slave finished recovery state state meta slave slave status update manager master master slave slave mem disk slave new master master new master client state state meta new master master slave new master slave finished recovery master register slave local slave status update manager slave new master master master slave local mem disk slave new master new master master slave registered master master given slave id master register slave local slave master slave local mem disk slave meta slave added slave local mem disk mem disk available slave registered master master given slave id slave finished recovery slave meta slave added slave local mem disk mem disk available slave new master master new master master slave new master master register slave local slave master slave local mem disk slave registered master master given slave id slave meta slave added slave local mem disk mem disk available new client connection master framework authenticator server authenticator new server connection received authentication cram authenticate mechanism cram authenticator received authentication start authenticator authentication received authentication step authenticator received authentication step authenticator authentication success authentication success master successfully framework successfully master master master received registration request master framework added framework master sending framework registered id task task task master reply offer slave local framework master task mem slave local master task framework mem slave local master reply offer slave local framework master task mem slave local master task framework mem slave local master reply offer slave local framework master task mem slave local master task framework mem slave local slave got assigned task framework slave task framework slave got assigned task framework slave got assigned task framework framework slave slave task framework framework slave framework slave slave task framework slave task executor default framework default apache build test executor default framework forked executor slave executor default framework forked slave task executor default framework default apache build test executor default framework forked executor slave executor default framework forked slave watch executor default framework already watched slave task executor default framework default apache build test executor default framework forked executor slave executor default framework forked slave watch executor default framework already watched fetching default fetching default fetching default slave got registration executor default framework slave flushing task executor default framework slave got registration executor default framework slave flushing task executor default framework slave got registration executor default framework slave flushing task executor default framework registered executor local slave handling status update task framework executor received status update task framework forwarding status update task framework master registered executor local master status update task framework slave slave sending status update task framework executor status update task state received status update task framework registered executor local slave handling status update task framework executor received status update task framework forwarding status update task framework master slave sending status update task framework executor master status update task framework slave status update task state received status update task framework slave handling status update task framework executor received status update task framework forwarding status update task framework master master status update task framework slave slave sending status update task framework executor status update task state received status update task,8
