,issuekey,title,description,storypoint
0,MDL-1626,Forum: Per-discussion subscription,finding absolutely flooded unwanted moodle forum script annoying know similarly annoy fact put system problem unlike discussion moodle entire forum thread overwhelming people serious business could said moodle generating feature unfocused chance going please,100
1,MDL-3714,Forum: Reply by e-mail,ability post via,100
2,MDL-5583,allow teachers to specify certain fields in database activity as required,allow teacher specify whether field must filled,20
3,MDL-8501,Forum: proceed to next thread link,please put link jump next thread forum interface cool evaluation process time consuming teacher time everything,20
4,MDL-10115,A use profile's course list is arbitarily limited with no way of seeing complete list,user profile list think ellipsis displayed bit useless click ellipsis see rest b list even alphabetic order becomes even arbitrary c ellipsis easy miss may list truncated suggest either making work properly e ellipsis list considered important put many show certain amount would seem sensible display alphabetic order without difficult administrator see user example role,13
5,MDL-12403,backup or import of single quiz includes all questions in database,making backup individual matter many back backup question bank used quiz backing extreme case back single quiz restore another course unintentionally transfer along quiz quiz another course,100
6,MDL-13114,Include bulk course create and remove with Moodle through the use of CSV files,looking moodle replacement blackboard enterprise order moodle viable replacement need way bulk create delete based bulk create handled use party module rory however import say way bulk remove end semester removing would time consuming would really prefer functionality included within moodle party matter good risk module getting,100
7,MDL-16073,"Add ""test database setup"" to the ""External Database"" enrollment and authentication plugins",hard test whether administrative panel external authentication external enrollment correctly currently create fake user similar try authenticate enroll see receive least tested someone better way nice test connection button page go sure password connection data correct stuff screen easy read report thank,4
8,MDL-16474,Allow single-item scales,single item scale useful used moodle demand see moodle forum discus currently scale may,8
9,MDL-16982,Adding data mapping for custom user fields,like possibility add data custom user use,40
10,MDL-17081,"Implement import/export ""Permissions"" settings for ""Manage roles"" tab",suggest implement import export role see two probably one need particularly useful enterprise level moodle implementation often staging testing development moodle role pain butt manually change one one long list newly moodle thanks,20
11,MDL-18014,Automatically and periodically save WYSIWYG editor content as a draft/concept,discussion shortly use automatically periodically every minute save content editor space see working example could use table therefore flag rich text field feature every identifier accessible maybe via card lifetime subject configuration couple default,40
12,MDL-18229,Add grade item and student grades quick edit feature to the grader report,add grade item student quick edit feature grader report enable grade item student feedback grade thanks feature see moodle forum discus,100
13,MDL-18375,Displaying and selecting dates throughout Moodle should allow the use of multiple calendars,patch add capability working calendar provide apply patch following post,100
14,MDL-18633,User profile: add last ip field to user view,similar request add last address could useful site administrator trying track user last access moodle patch attach come one head well peace,2
